Qid,title,options.A,options.B,options.C,options.D,answer,explanation,difficulty,topics
QA_ALG_INDICES_001,Sample easy question 1 from Indices.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Indices question 1.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Indices""]"
QA_ALG_INDICES_002,Sample easy question 2 from Indices.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Indices question 2.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Indices""]"
QA_ALG_INDICES_003,Sample easy question 3 from Indices.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Indices question 3.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Indices""]"
QA_ALG_INDICES_004,Sample easy question 4 from Indices.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Indices question 4.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Indices""]"
QA_ALG_INDICES_005,Sample medium question 5 from Indices.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Indices question 5.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Indices""]"
QA_ALG_INDICES_006,Sample medium question 6 from Indices.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Indices question 6.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Indices""]"
QA_ALG_INDICES_007,Sample medium question 7 from Indices.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Indices question 7.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Indices""]"
QA_ALG_INDICES_008,Sample medium question 8 from Indices.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Indices question 8.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Indices""]"
QA_ALG_INDICES_009,Sample hard question 9 from Indices.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Indices question 9.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Indices""]"
QA_ALG_INDICES_010,Sample hard question 10 from Indices.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Indices question 10.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Indices""]"
QA_ALG_SURDS_001,Sample easy question 1 from Surds.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Surds question 1.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Surds""]"
QA_ALG_SURDS_002,Sample easy question 2 from Surds.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Surds question 2.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Surds""]"
QA_ALG_SURDS_003,Sample easy question 3 from Surds.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Surds question 3.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Surds""]"
QA_ALG_SURDS_004,Sample easy question 4 from Surds.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Surds question 4.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Surds""]"
QA_ALG_SURDS_005,Sample medium question 5 from Surds.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Surds question 5.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Surds""]"
QA_ALG_SURDS_006,Sample medium question 6 from Surds.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Surds question 6.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Surds""]"
QA_ALG_SURDS_007,Sample medium question 7 from Surds.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Surds question 7.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Surds""]"
QA_ALG_SURDS_008,Sample medium question 8 from Surds.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Surds question 8.,Medium,"[""Quantitative Aptitude"", ""Algebra"", ""Surds""]"
QA_ALG_SURDS_009,Sample hard question 9 from Surds.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Surds question 9.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Surds""]"
QA_ALG_SURDS_010,Sample hard question 10 from Surds.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Surds question 10.,Hard,"[""Quantitative Aptitude"", ""Algebra"", ""Surds""]"
QA_ALG_PROGRESSIONS_001,Sample easy question 1 from Progressions.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Progressions question 1.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Progressions""]"
QA_ALG_PROGRESSIONS_002,Sample easy question 2 from Progressions.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Progressions question 2.,Easy,"[""Quantitative Aptitude"", ""Algebra"", ""Progressions""]"
