Qid,title,options.A,options.B,options.C,options.D,answer,explanation,difficulty,topics
QA_AVERAGE_AND_PARTNERSHIPS_001,Sample easy question 1 from Average & Partnerships.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Average & Partnerships question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Average & Partnerships""]"
QA_AVERAGE_AND_PARTNERSHIPS_002,Sample easy question 2 from Average & Partnerships.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Average & Partnerships question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Average & Partnerships""]"
QA_AVERAGE_AND_PARTNERSHIPS_003,Sample easy question 3 from Average & Partnerships.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Average & Partnerships question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Average & Partnerships""]"
QA_AVERAGE_AND_PARTNERSHIPS_004,Sample easy question 4 from Average & Partnerships.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Average & Partnerships question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Average & Partnerships""]"
QA_AVERAGE_AND_PARTNERSHIPS_005,Sample medium question 5 from Average & Partnerships.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Average & Partnerships question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Average & Partnerships""]"
QA_AVERAGE_AND_PARTNERSHIPS_006,Sample medium question 6 from Average & Partnerships.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Average & Partnerships question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Average & Partnerships""]"
QA_AVERAGE_AND_PARTNERSHIPS_007,Sample medium question 7 from Average & Partnerships.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Average & Partnerships question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Average & Partnerships""]"
QA_AVERAGE_AND_PARTNERSHIPS_008,Sample medium question 8 from Average & Partnerships.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Average & Partnerships question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Average & Partnerships""]"
QA_AVERAGE_AND_PARTNERSHIPS_009,Sample hard question 9 from Average & Partnerships.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Average & Partnerships question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Average & Partnerships""]"
QA_AVERAGE_AND_PARTNERSHIPS_010,Sample hard question 10 from Average & Partnerships.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Average & Partnerships question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Average & Partnerships""]"
QA_DIVISIBILITY_RULES_001,Sample easy question 1 from Divisibility Rules.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Divisibility Rules question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Divisibility Rules""]"
QA_DIVISIBILITY_RULES_002,Sample easy question 2 from Divisibility Rules.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Divisibility Rules question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Divisibility Rules""]"
QA_DIVISIBILITY_RULES_003,Sample easy question 3 from Divisibility Rules.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Divisibility Rules question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Divisibility Rules""]"
QA_DIVISIBILITY_RULES_004,Sample easy question 4 from Divisibility Rules.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Divisibility Rules question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Divisibility Rules""]"
QA_DIVISIBILITY_RULES_005,Sample medium question 5 from Divisibility Rules.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Divisibility Rules question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Divisibility Rules""]"
QA_DIVISIBILITY_RULES_006,Sample medium question 6 from Divisibility Rules.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Divisibility Rules question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Divisibility Rules""]"
QA_DIVISIBILITY_RULES_007,Sample medium question 7 from Divisibility Rules.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Divisibility Rules question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Divisibility Rules""]"
QA_DIVISIBILITY_RULES_008,Sample medium question 8 from Divisibility Rules.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Divisibility Rules question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Divisibility Rules""]"
QA_DIVISIBILITY_RULES_009,Sample hard question 9 from Divisibility Rules.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Divisibility Rules question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Divisibility Rules""]"
QA_DIVISIBILITY_RULES_010,Sample hard question 10 from Divisibility Rules.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Divisibility Rules question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Divisibility Rules""]"
QA_FACTORS_001,Sample easy question 1 from Factors.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Factors question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Factors""]"
QA_FACTORS_002,Sample easy question 2 from Factors.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Factors question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Factors""]"
QA_FACTORS_003,Sample easy question 3 from Factors.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Factors question 3.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Factors""]"
QA_FACTORS_004,Sample easy question 4 from Factors.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Factors question 4.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""Factors""]"
QA_FACTORS_005,Sample medium question 5 from Factors.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Factors question 5.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Factors""]"
QA_FACTORS_006,Sample medium question 6 from Factors.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Factors question 6.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Factors""]"
QA_FACTORS_007,Sample medium question 7 from Factors.,Option A text,Option B text,Option C text,Option D text,C,This is the explanation for Factors question 7.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Factors""]"
QA_FACTORS_008,Sample medium question 8 from Factors.,Option A text,Option B text,Option C text,Option D text,D,This is the explanation for Factors question 8.,Medium,"[""Quantitative Aptitude"", ""Arithmetic"", ""Factors""]"
QA_FACTORS_009,Sample hard question 9 from Factors.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for Factors question 9.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Factors""]"
QA_FACTORS_010,Sample hard question 10 from Factors.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for Factors question 10.,Hard,"[""Quantitative Aptitude"", ""Arithmetic"", ""Factors""]"
QA_HCF_AND_LCM_001,Sample easy question 1 from HCF & LCM.,Option A text,Option B text,Option C text,Option D text,A,This is the explanation for HCF & LCM question 1.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""HCF & LCM""]"
QA_HCF_AND_LCM_002,Sample easy question 2 from HCF & LCM.,Option A text,Option B text,Option C text,Option D text,B,This is the explanation for HCF & LCM question 2.,Easy,"[""Quantitative Aptitude"", ""Arithmetic"", ""HCF & LCM""]"
